;Ticker;Company Name;final_name
688;BACA;Berenson Acquisition Corp. I;BACA - Berenson Acquisition Corp. I
689;BAER;Bridger Aerospace Group Holdings, Inc. Common Stock;BAER - Bridger Aerospace Group Holdings, Inc. Common Stock
690;BAFN;BayFirst Financial Corp.;BAFN - BayFirst Financial Corp.
691;BAH;Booz Allen Hamilton Holding Corp;BAH - Booz Allen Hamilton Holding Corp
692;BALL;BALL CORP;BALL - BALL CORP
693;BALY;Bally's Corporation;BALY - Bally's Corporation
694;BANC;Banc of California, Inc.;BANC - Banc of California, Inc.
695;BAND;Bandwidth Inc.;BAND - Bandwidth Inc.
696;BANF;BancFirst Corporation;BANF - BancFirst Corporation
697;BANR;Banner Corporation;BANR - Banner Corporation
698;BARK;BARK, Inc.;BARK - BARK, Inc.
699;BASE;Couchbase, Inc.;BASE - Couchbase, Inc.
700;BATL;BATTALION OIL CORP;BATL - BATTALION OIL CORP
701;BATRA;The Liberty Braves Group;BATRA - The Liberty Braves Group
702;BATRK;The Liberty Braves Group;BATRK - The Liberty Braves Group
703;BAX;BAXTER INTERNATIONAL INC;BAX - BAXTER INTERNATIONAL INC
704;BB;BLACKBERRY Ltd;BB - BLACKBERRY Ltd
705;BBAI;BigBear.ai Holdings, Inc.;BBAI - BigBear.ai Holdings, Inc.
706;BBBI;Birmingham Bloomfield Bancshares;BBBI - Birmingham Bloomfield Bancshares
707;BBBY;BED BATH & BEYOND INC;BBBY - BED BATH & BEYOND INC
708;BBCP;Concrete Pumping Holdings, Inc.;BBCP - Concrete Pumping Holdings, Inc.
709;BBDC;Barings BDC, Inc.;BBDC - Barings BDC, Inc.
710;BBGI;BEASLEY BROADCAST GROUP INC;BBGI - BEASLEY BROADCAST GROUP INC
711;BBIO;BridgeBio Pharma, Inc.;BBIO - BridgeBio Pharma, Inc.
712;BBLR;Bubblr Inc.;BBLR - Bubblr Inc.
713;BBQ;BBQ Holdings, Inc.;BBQ - BBQ Holdings, Inc.
714;BBRG;Bravo Brio Restaurant Group, Inc.;BBRG - Bravo Brio Restaurant Group, Inc.
715;BBSI;BARRETT BUSINESS SERVICES INC;BBSI - BARRETT BUSINESS SERVICES INC
716;BBUC;Brookfield Business Corporation;BBUC - Brookfield Business Corporation
717;BBW;Build-A-Bear Workshop, Inc.;BBW - Build-A-Bear Workshop, Inc.
718;BBWI;Bath & Body Works, Inc.;BBWI - Bath & Body Works, Inc.
719;BBXIA;BBX Capital, Inc.;BBXIA - BBX Capital, Inc.
720;BBY;BEST BUY CO INC;BBY - BEST BUY CO INC
721;BC;BRUNSWICK CORP;BC - BRUNSWICK CORP
722;BCAB;BioAtla, Inc.;BCAB - BioAtla, Inc.
723;BCAC;Brookline Capital Acquisition Corp.;BCAC - Brookline Capital Acquisition Corp.
724;BCBP;BCB Bancorp, Inc.;BCBP - BCB Bancorp, Inc.
725;BCC;BOISE CASCADE Co;BCC - BOISE CASCADE Co
726;BCDA;BioCardia, Inc.;BCDA - BioCardia, Inc.
727;BCEI_delisted;Bonanza Creek Energy, Inc.;BCEI_delisted - Bonanza Creek Energy, Inc.
728;BCEL;Atreca, Inc.;BCEL - Atreca, Inc.
729;BCLI;Brainstorm Cell Therapeutics Inc.;BCLI - Brainstorm Cell Therapeutics Inc.
730;BCLR;BARCLAY ROAD, INC.;BCLR - BARCLAY ROAD, INC.
731;BCML;BayCom Corp;BCML - BayCom Corp
732;BCO;BRINKS CO;BCO - BRINKS CO
733;BCOR;BLUCORA, INC.;BCOR - BLUCORA, INC.
734;BCOV;Brightcove Inc.;BCOV - Brightcove Inc.
735;BCOW;1895 Bancorp of Wisconsin, Inc.;BCOW - 1895 Bancorp of Wisconsin, Inc.
736;BCPC;BALCHEM CORP;BCPC - BALCHEM CORP
737;BCR;BARD C R INC /NJ/;BCR - BARD C R INC /NJ/
738;BCRD;Blueone Card Inc.;BCRD - Blueone Card Inc.
739;BCRX;BioCryst Pharmaceuticals, Inc.;BCRX - BioCryst Pharmaceuticals, Inc.
740;BCS;Barclays PLC;BCS - Barclays PLC
741;BCSF;Bain Capital Specialty Finance, Inc.;BCSF - Bain Capital Specialty Finance, Inc.
742;BCSI;BLUE COAT SYSTEMS INC;BCSI - BLUE COAT SYSTEMS INC
743;BCTF;Bancorp 34, Inc.;BCTF - Bancorp 34, Inc.
744;BCTX;BriaCell Therapeutics Corp.;BCTX - BriaCell Therapeutics Corp.
745;BCYC;Bicycle Therapeutics plc;BCYC - Bicycle Therapeutics plc
746;BCYP;Big Cypress Acquisition Corp.;BCYP - Big Cypress Acquisition Corp.
747;BDC;BELDEN INC.;BDC - BELDEN INC.
748;BDL;Flanigan's Enterprises, Inc.;BDL - Flanigan's Enterprises, Inc.
749;BDN;BRANDYWINE REALTY TRUST;BDN - BRANDYWINE REALTY TRUST
750;BDSI;BioDelivery Sciences International, Inc.;BDSI - BioDelivery Sciences International, Inc.
751;BDSX;BIODESIX INC;BDSX - BIODESIX INC
752;BDTX;Black Diamond Therapeutics, Inc.;BDTX - Black Diamond Therapeutics, Inc.
753;BDX;BECTON DICKINSON & CO;BDX - BECTON DICKINSON & CO
754;BE;Bloom Energy Corp;BE - Bloom Energy Corp
755;BEAM;Beam Therapeutics Inc.;BEAM - Beam Therapeutics Inc.
756;BEAT;HeartBeam, Inc.;BEAT - HeartBeam, Inc.
757;BEBE;bebe stores, inc.;BEBE - bebe stores, inc.
758;BECN;Beacon Roofing Supply, Inc.;BECN - Beacon Roofing Supply, Inc.
759;BEDU;Bright Scholar Education Holdings Limited;BEDU - Bright Scholar Education Holdings Limited
760;BEEM;Beam Global;BEEM - Beam Global
761;BELFA;Bel Fuse Inc.;BELFA - Bel Fuse Inc.
762;BELFB;Bel Fuse Inc.;BELFB - Bel Fuse Inc.
763;BEN;Franklin Resources;BEN - Franklin Resources
764;BENF;Beneficient;BENF - Beneficient
765;BEP;Brookfield Renewable Partners L.P.;BEP - Brookfield Renewable Partners L.P.
766;BERK;BERKSHIRE BANCORP INC /DE/;BERK - BERKSHIRE BANCORP INC /DE/
767;BERY;BERRY GLOBAL GROUP INC;BERY - BERRY GLOBAL GROUP INC
768;BEXP;BRIGHAM EXPLORATION CO;BEXP - BRIGHAM EXPLORATION CO
769;BF-A;BROWN FORMAN CORP;BF-A - BROWN FORMAN CORP
770;BFAM;BRIGHT HORIZONS FAMILY SOLUTIONS INC.;BFAM - BRIGHT HORIZONS FAMILY SOLUTIONS INC.
771;BFC;Bank First Corporation;BFC - Bank First Corporation
772;BFGX;Bangfu Technology Group Co., Ltd.;BFGX - Bangfu Technology Group Co., Ltd.
773;BFH;BREAD FINANCIAL HOLDINGS, INC.;BFH - BREAD FINANCIAL HOLDINGS, INC.
774;BFIN;BankFinancial Corporation;BFIN - BankFinancial Corporation
775;BFLD;BROADCAST LIVE DIGITAL CORP.;BFLD - BROADCAST LIVE DIGITAL CORP.
776;BFLY;Butterfly Network, Inc.;BFLY - Butterfly Network, Inc.
777;BFRG;Bullfrog AI Holdings, Inc. Common Stock;BFRG - Bullfrog AI Holdings, Inc. Common Stock
778;BFRI;Biofrontera Inc.;BFRI - Biofrontera Inc.
779;BFS;SAUL CENTERS INC;BFS - SAUL CENTERS INC
780;BFST;Business First Bancshares, Inc.;BFST - Business First Bancshares, Inc.
781;BG;Bunge LTD;BG - Bunge LTD
782;BGCP;BGC Partners, Inc.;BGCP - BGC Partners, Inc.
783;BGFV;BIG 5 SPORTING GOODS Corp;BGFV - BIG 5 SPORTING GOODS Corp
784;BGG;BRIGGS & STRATTON CORP;BGG - BRIGGS & STRATTON CORP
785;BGI;Birks Group Inc.;BGI - Birks Group Inc.
786;BGLC;BioNexus Gene Lab Corporation;BGLC - BioNexus Gene Lab Corporation
787;BGNE;BeiGene, Ltd.;BGNE - BeiGene, Ltd.
788;BGRY;Berkshire Grey, Inc.;BGRY - Berkshire Grey, Inc.
789;BGS;B&G Foods, Inc.;BGS - B&G Foods, Inc.
790;BGSF;BG Staffing, Inc.;BGSF - BG Staffing, Inc.
791;BGSX;Build Acquisition Corp.;BGSX - Build Acquisition Corp.
792;BGXX;Bright Green Corporation;BGXX - Bright Green Corporation
793;BH;Biglari Holdings Inc.;BH - Biglari Holdings Inc.
794;BHAC;Crixus BH3 Acquisition Company;BHAC - Crixus BH3 Acquisition Company
795;BHB;Bar Harbor Bankshares;BHB - Bar Harbor Bankshares
796;BHC;Bausch Health Companies Inc.;BHC - Bausch Health Companies Inc.
797;BHE;BENCHMARK ELECTRONICS INC;BHE - BENCHMARK ELECTRONICS INC
798;BHF;Brighthouse Financial, Inc.;BHF - Brighthouse Financial, Inc.
799;BHG;Bright Health Group, Inc.;BHG - Bright Health Group, Inc.
800;BHI;BAKER HUGHES Holdings LLC;BHI - BAKER HUGHES Holdings LLC
801;BHIL;Benson Hill, Inc.;BHIL - Benson Hill, Inc.
802;BHLB;BERKSHIRE HILLS BANCORP INC;BHLB - BERKSHIRE HILLS BANCORP INC
